banner_id,brand,category,subcategory,banner_format,campaign_goal,target_gender,target_age_min,target_age_max,cpm_bid,quality_score,created_at,is_active,landing_page
b_0001,Pixel,fashion,sportswear,static,awareness,U,40,50,9.4,0.715,2025-12-17,1,https://example.com/fashion/sportswear/pixel-1
b_0002,Orbit,electronics,smartphones,static,app_install,M,21,46,8.52,0.546,2026-03-04,1,https://example.com/electronics/smartphones/orbit-2
b_0003,Aura,entertainment,music,native,purchase,M,30,50,11.72,0.873,2026-02-07,1,https://example.com/entertainment/music/aura-3
b_0004,Orbit,travel,weekend_trips,static,awareness,U,35,55,1.97,0.721,2026-02-19,1,https://example.com/travel/weekend_trips/orbit-4
b_0005,Orbit,home,garden,native,traffic,F,40,60,4.76,0.954,2026-02-18,1,https://example.com/home/garden/orbit-5
b_0006,Fox,fashion,sportswear,static,traffic,M,21,31,9.96,0.717,2026-01-24,1,https://example.com/fashion/sportswear/fox-6
b_0007,Pulse,home,appliances,animated,awareness,M,40,50,3.11,0.772,2026-03-09,1,https://example.com/home/appliances/pulse-7
b_0008,Pixel,food,restaurants,static,traffic,M,40,55,10.02,0.81,2025-10-12,1,https://example.com/food/restaurants/pixel-8
b_0009,Delta,electronics,laptops,static,traffic,M,21,41,9.22,0.674,2025-10-13,1,https://example.com/electronics/laptops/delta-9
b_0010,Fox,home,repair,animated,traffic,M,35,55,10.77,0.881,2026-03-24,1,https://example.com/home/repair/fox-10
b_0011,Citrus,beauty,wellness,animated,purchase,M,30,40,2.74,0.729,2025-12-29,1,https://example.com/beauty/wellness/citrus-11
b_0012,Fox,fashion,casual,static,lead_gen,F,30,55,2.27,0.835,2025-10-08,1,https://example.com/fashion/casual/fox-12
b_0013,Luma,home,garden,native,purchase,M,40,50,9.06,0.974,2025-12-13,1,https://example.com/home/garden/luma-13
b_0014,Aura,sports,cycling,video,awareness,F,30,40,4.76,0.73,2025-11-28,0,https://example.com/sports/cycling/aura-14
b_0015,Aura,finance,wallets,static,purchase,U,25,40,2.68,0.564,2026-02-01,1,https://example.com/finance/wallets/aura-15
b_0016,Aura,food,restaurants,native,purchase,F,30,40,3.11,0.828,2025-12-25,1,https://example.com/food/restaurants/aura-16
b_0017,Vanta,education,school,static,purchase,U,18,43,5.53,0.908,2026-01-22,1,https://example.com/education/school/vanta-17
b_0018,Pulse,sports,running,video,purchase,M,35,60,4.09,0.908,2026-02-04,0,https://example.com/sports/running/pulse-18
b_0019,Pixel,sports,running,static,purchase,F,30,55,9.75,0.69,2026-03-11,1,https://example.com/sports/running/pixel-19
b_0020,Peak,travel,flights,static,app_install,F,18,28,8.35,0.568,2025-11-21,1,https://example.com/travel/flights/peak-20
b_0021,Orbit,electronics,laptops,native,purchase,M,21,41,2.8,0.504,2026-02-21,1,https://example.com/electronics/laptops/orbit-21
b_0022,Pulse,travel,car_rental,video,purchase,F,21,46,8.15,0.846,2026-02-19,1,https://example.com/travel/car_rental/pulse-22
b_0023,Orbit,travel,flights,video,traffic,F,40,50,9.48,0.725,2025-12-31,1,https://example.com/travel/flights/orbit-23
b_0024,Citrus,fashion,sportswear,video,purchase,M,21,36,2.11,0.556,2026-01-11,1,https://example.com/fashion/sportswear/citrus-24
b_0025,Pulse,food,snacks,static,awareness,U,30,40,8.19,0.731,2026-03-03,1,https://example.com/food/snacks/pulse-25
b_0026,Orbit,sports,fitness,native,purchase,M,30,55,9.3,0.811,2026-01-10,1,https://example.com/sports/fitness/orbit-26
b_0027,Pulse,beauty,skincare,animated,purchase,M,30,50,6.87,0.774,2026-02-21,1,https://example.com/beauty/skincare/pulse-27
b_0028,Pulse,sports,football,static,awareness,M,40,50,0.85,0.714,2025-11-24,1,https://example.com/sports/football/pulse-28
b_0029,Mira,electronics,smartphones,animated,purchase,F,18,28,2.97,0.7,2026-03-28,1,https://example.com/electronics/smartphones/mira-29
b_0030,Orbit,fashion,accessories,video,awareness,M,35,50,3.19,0.529,2026-03-03,1,https://example.com/fashion/accessories/orbit-30
b_0031,Orbit,electronics,wearables,animated,app_install,F,25,40,3.74,0.644,2025-12-18,1,https://example.com/electronics/wearables/orbit-31
b_0032,Luma,education,coding,animated,lead_gen,M,25,35,6.91,0.884,2026-01-28,1,https://example.com/education/coding/luma-32
b_0033,Orbit,entertainment,events,static,awareness,M,25,35,8.14,0.699,2025-12-15,1,https://example.com/entertainment/events/orbit-33
b_0034,Pulse,education,school,animated,app_install,M,40,50,2.42,0.511,2026-02-24,1,https://example.com/education/school/pulse-34
b_0035,Fox,sports,cycling,static,purchase,M,18,33,1.54,0.854,2026-02-03,1,https://example.com/sports/cycling/fox-35
b_0036,Pixel,entertainment,cinema,static,lead_gen,U,35,60,2.35,0.746,2025-12-23,1,https://example.com/entertainment/cinema/pixel-36
b_0037,Fox,electronics,smartphones,animated,traffic,M,21,41,2.25,0.841,2025-12-29,1,https://example.com/electronics/smartphones/fox-37
b_0038,Pixel,home,garden,animated,awareness,M,40,55,4.88,0.648,2025-12-20,1,https://example.com/home/garden/pixel-38
b_0039,Zenit,education,design,static,awareness,M,18,38,7.75,0.677,2026-03-22,1,https://example.com/education/design/zenit-39
b_0040,Peak,travel,flights,video,purchase,F,35,50,1.86,0.971,2025-10-16,0,https://example.com/travel/flights/peak-40
b_0041,Aura,travel,hotels,native,purchase,M,40,60,10.95,0.843,2025-12-22,1,https://example.com/travel/hotels/aura-41
b_0042,Luma,beauty,makeup,static,lead_gen,F,18,43,11.65,0.882,2025-11-17,1,https://example.com/beauty/makeup/luma-42
b_0043,Luma,home,appliances,native,purchase,M,40,55,8.74,0.72,2026-02-10,1,https://example.com/home/appliances/luma-43
b_0044,Aura,finance,cards,static,app_install,F,35,55,1.61,0.942,2025-11-19,0,https://example.com/finance/cards/aura-44
b_0045,Pulse,fashion,luxury,animated,purchase,M,35,60,5.74,0.599,2026-02-07,1,https://example.com/fashion/luxury/pulse-45
b_0046,Mira,education,business,native,awareness,U,21,41,7.16,0.587,2025-11-25,1,https://example.com/education/business/mira-46
b_0047,Zenit,beauty,skincare,native,app_install,U,40,55,10.35,0.872,2025-12-28,1,https://example.com/beauty/skincare/zenit-47
b_0048,Mira,fashion,luxury,static,purchase,U,25,45,5.47,0.807,2026-02-07,1,https://example.com/fashion/luxury/mira-48
b_0049,Pixel,education,business,static,awareness,F,30,45,7.22,0.818,2026-01-22,1,https://example.com/education/business/pixel-49
b_0050,Zenit,finance,insurance,native,traffic,M,35,55,5.28,0.52,2025-10-16,1,https://example.com/finance/insurance/zenit-50
b_0051,Zenit,home,decor,animated,purchase,U,21,31,6.18,0.662,2026-01-27,1,https://example.com/home/decor/zenit-51
b_0052,Orbit,entertainment,music,native,purchase,F,21,36,1.69,0.788,2025-10-27,1,https://example.com/entertainment/music/orbit-52
b_0053,Aster,electronics,laptops,video,purchase,F,40,55,2.46,0.953,2026-03-28,1,https://example.com/electronics/laptops/aster-53
b_0054,Citrus,beauty,fragrance,static,lead_gen,M,18,43,4.49,0.79,2026-01-13,1,https://example.com/beauty/fragrance/citrus-54
b_0055,Nova,sports,football,animated,purchase,M,21,46,0.76,0.97,2025-12-15,1,https://example.com/sports/football/nova-55
b_0056,Peak,sports,outdoor,native,purchase,F,40,65,9.5,0.541,2025-12-26,1,https://example.com/sports/outdoor/peak-56
b_0057,Pulse,sports,football,video,traffic,M,21,41,6.1,0.74,2025-12-19,1,https://example.com/sports/football/pulse-57
b_0058,Fox,sports,football,static,traffic,U,21,41,7.07,0.732,2026-03-18,1,https://example.com/sports/football/fox-58
b_0059,Pulse,sports,fitness,static,traffic,M,21,31,3.57,0.662,2026-01-07,1,https://example.com/sports/fitness/pulse-59
b_0060,Aster,education,design,animated,awareness,F,35,45,5.55,0.511,2026-01-02,1,https://example.com/education/design/aster-60
b_0061,Aster,entertainment,books,static,traffic,U,30,45,10.0,0.939,2026-01-06,1,https://example.com/entertainment/books/aster-61
b_0062,Aster,finance,insurance,static,traffic,F,30,45,6.87,0.553,2025-10-26,1,https://example.com/finance/insurance/aster-62
b_0063,Zenit,food,restaurants,static,traffic,F,18,28,8.23,0.638,2025-11-13,1,https://example.com/food/restaurants/zenit-63
b_0064,Pulse,food,snacks,static,traffic,M,25,45,8.86,0.877,2026-01-27,1,https://example.com/food/snacks/pulse-64
b_0065,Aura,beauty,haircare,native,traffic,U,30,40,1.74,0.949,2026-03-25,1,https://example.com/beauty/haircare/aura-65
b_0066,Vanta,electronics,audio,video,purchase,F,18,33,0.93,0.772,2025-11-11,1,https://example.com/electronics/audio/vanta-66
b_0067,Pulse,electronics,wearables,static,traffic,M,21,46,4.77,0.907,2025-12-22,1,https://example.com/electronics/wearables/pulse-67
b_0068,Mira,education,coding,video,lead_gen,M,21,41,4.15,0.967,2026-02-23,1,https://example.com/education/coding/mira-68
b_0069,Mira,electronics,audio,video,purchase,F,40,55,3.85,0.752,2026-03-12,1,https://example.com/electronics/audio/mira-69
b_0070,Pixel,travel,flights,video,purchase,F,18,28,11.26,0.581,2025-11-16,1,https://example.com/travel/flights/pixel-70
b_0071,Orbit,beauty,haircare,animated,traffic,U,30,40,1.02,0.713,2026-03-24,1,https://example.com/beauty/haircare/orbit-71
b_0072,Pixel,education,business,static,awareness,F,40,60,10.75,0.867,2026-03-28,1,https://example.com/education/business/pixel-72
b_0073,Aster,sports,football,animated,lead_gen,M,21,31,10.74,0.938,2025-10-21,1,https://example.com/sports/football/aster-73
b_0074,Aura,home,decor,animated,app_install,F,18,43,4.13,0.878,2026-01-02,1,https://example.com/home/decor/aura-74
b_0075,Vanta,food,snacks,animated,traffic,M,35,55,8.11,0.683,2026-03-09,1,https://example.com/food/snacks/vanta-75
b_0076,Orbit,sports,running,static,traffic,F,21,46,9.09,0.629,2025-10-18,1,https://example.com/sports/running/orbit-76
b_0077,Aura,home,repair,static,traffic,F,21,41,11.27,0.618,2025-10-06,1,https://example.com/home/repair/aura-77
b_0078,Zenit,education,business,animated,traffic,U,25,45,10.06,0.575,2025-10-23,1,https://example.com/education/business/zenit-78
b_0079,Luma,finance,investing,static,lead_gen,M,40,55,2.56,0.794,2026-02-07,1,https://example.com/finance/investing/luma-79
b_0080,Pixel,home,appliances,animated,purchase,F,18,33,2.76,0.652,2026-03-07,1,https://example.com/home/appliances/pixel-80
b_0081,Luma,education,coding,static,app_install,M,18,38,9.44,0.976,2025-12-29,1,https://example.com/education/coding/luma-81
b_0082,Orbit,food,snacks,native,app_install,F,30,50,2.15,0.507,2025-12-30,1,https://example.com/food/snacks/orbit-82
b_0083,Delta,electronics,audio,animated,purchase,F,18,28,3.14,0.565,2025-10-04,1,https://example.com/electronics/audio/delta-83
b_0084,Orbit,entertainment,music,native,awareness,U,35,50,1.9,0.748,2026-01-30,1,https://example.com/entertainment/music/orbit-84
b_0085,Aster,beauty,fragrance,static,app_install,F,35,45,8.48,0.785,2025-12-15,1,https://example.com/beauty/fragrance/aster-85
b_0086,Fox,fashion,casual,static,lead_gen,M,21,31,9.75,0.851,2025-11-05,1,https://example.com/fashion/casual/fox-86
b_0087,Pixel,beauty,fragrance,animated,traffic,M,40,60,9.0,0.564,2025-12-18,1,https://example.com/beauty/fragrance/pixel-87
b_0088,Fox,home,furniture,static,traffic,U,35,50,11.17,0.695,2025-10-23,1,https://example.com/home/furniture/fox-88
b_0089,Fox,sports,running,static,traffic,M,18,33,3.96,0.739,2025-12-31,1,https://example.com/sports/running/fox-89
b_0090,Luma,entertainment,events,animated,traffic,M,30,50,11.49,0.64,2026-01-28,1,https://example.com/entertainment/events/luma-90
b_0091,Orbit,home,repair,animated,purchase,U,35,55,11.14,0.512,2026-01-16,1,https://example.com/home/repair/orbit-91
b_0092,Mira,travel,car_rental,native,purchase,F,25,35,7.79,0.552,2026-01-08,1,https://example.com/travel/car_rental/mira-92
b_0093,Zenit,food,snacks,video,purchase,M,35,60,2.11,0.705,2025-10-02,1,https://example.com/food/snacks/zenit-93
b_0094,Aster,home,furniture,static,traffic,F,21,41,7.35,0.957,2026-03-23,1,https://example.com/home/furniture/aster-94
b_0095,Fox,home,appliances,native,purchase,F,30,40,9.75,0.729,2026-01-23,1,https://example.com/home/appliances/fox-95
b_0096,Aura,education,language,animated,app_install,U,40,65,0.71,0.553,2026-02-19,1,https://example.com/education/language/aura-96
b_0097,Peak,travel,car_rental,video,traffic,F,18,33,10.04,0.89,2025-12-23,1,https://example.com/travel/car_rental/peak-97
b_0098,Aster,food,healthy,native,traffic,M,40,55,6.6,0.797,2025-11-11,1,https://example.com/food/healthy/aster-98
b_0099,Nova,finance,wallets,animated,awareness,U,18,43,10.48,0.796,2025-11-22,0,https://example.com/finance/wallets/nova-99
b_0100,Pixel,food,snacks,static,lead_gen,F,30,55,4.8,0.709,2025-12-14,1,https://example.com/food/snacks/pixel-100
b_0101,Citrus,sports,running,static,app_install,U,21,31,8.0,0.925,2025-11-19,1,https://example.com/sports/running/citrus-101
b_0102,Aura,beauty,haircare,animated,purchase,M,25,50,3.35,0.616,2025-12-21,1,https://example.com/beauty/haircare/aura-102
b_0103,Aster,home,garden,static,app_install,F,30,50,9.08,0.9,2026-03-22,1,https://example.com/home/garden/aster-103
b_0104,Citrus,travel,car_rental,static,purchase,M,40,65,1.27,0.791,2025-10-19,1,https://example.com/travel/car_rental/citrus-104
b_0105,Fox,beauty,fragrance,video,lead_gen,M,18,33,2.18,0.904,2025-11-27,1,https://example.com/beauty/fragrance/fox-105
b_0106,Delta,entertainment,music,static,purchase,M,30,40,2.15,0.951,2025-11-25,1,https://example.com/entertainment/music/delta-106
b_0107,Orbit,beauty,makeup,animated,purchase,M,40,65,2.4,0.64,2026-01-12,1,https://example.com/beauty/makeup/orbit-107
b_0108,Citrus,education,design,native,app_install,U,30,40,1.83,0.51,2025-10-28,1,https://example.com/education/design/citrus-108
b_0109,Vanta,travel,weekend_trips,video,traffic,M,40,50,1.14,0.586,2026-02-27,1,https://example.com/travel/weekend_trips/vanta-109
b_0110,Nova,finance,cards,static,awareness,F,30,45,7.3,0.834,2025-10-10,1,https://example.com/finance/cards/nova-110
b_0111,Fox,beauty,wellness,video,awareness,M,30,45,5.03,0.656,2026-03-27,1,https://example.com/beauty/wellness/fox-111
b_0112,Vanta,entertainment,cinema,animated,traffic,M,18,43,10.56,0.917,2025-12-30,1,https://example.com/entertainment/cinema/vanta-112
b_0113,Orbit,sports,running,animated,traffic,F,40,65,1.0,0.589,2026-03-10,1,https://example.com/sports/running/orbit-113
b_0114,Vanta,home,appliances,native,purchase,M,30,50,3.37,0.78,2025-11-12,1,https://example.com/home/appliances/vanta-114
b_0115,Delta,finance,cards,video,traffic,F,40,50,5.29,0.524,2025-10-02,1,https://example.com/finance/cards/delta-115
b_0116,Aura,home,appliances,video,app_install,F,40,55,6.52,0.55,2025-12-07,1,https://example.com/home/appliances/aura-116
b_0117,Fox,food,delivery,video,traffic,F,35,55,10.08,0.525,2025-12-12,1,https://example.com/food/delivery/fox-117
b_0118,Peak,fashion,luxury,video,awareness,M,35,55,1.64,0.913,2026-03-16,1,https://example.com/fashion/luxury/peak-118
b_0119,Luma,finance,loans,native,purchase,U,25,45,10.88,0.98,2025-11-27,1,https://example.com/finance/loans/luma-119
b_0120,Pulse,home,furniture,video,awareness,F,40,65,9.46,0.815,2026-02-22,0,https://example.com/home/furniture/pulse-120
b_0121,Orbit,sports,cycling,video,awareness,F,30,50,9.46,0.566,2026-02-26,1,https://example.com/sports/cycling/orbit-121
b_0122,Citrus,finance,wallets,native,purchase,M,21,46,6.41,0.92,2026-01-05,1,https://example.com/finance/wallets/citrus-122
b_0123,Mira,sports,cycling,static,awareness,U,40,60,5.82,0.689,2026-02-01,1,https://example.com/sports/cycling/mira-123
b_0124,Nova,fashion,casual,native,traffic,F,18,33,3.56,0.568,2026-01-24,1,https://example.com/fashion/casual/nova-124
b_0125,Aster,food,snacks,animated,purchase,F,35,60,6.0,0.704,2026-01-17,1,https://example.com/food/snacks/aster-125
b_0126,Fox,food,snacks,static,traffic,F,25,35,4.73,0.68,2025-11-11,1,https://example.com/food/snacks/fox-126
b_0127,Aster,travel,insurance,native,purchase,M,40,60,4.27,0.686,2025-11-02,1,https://example.com/travel/insurance/aster-127
b_0128,Citrus,education,language,static,purchase,U,30,40,3.91,0.965,2026-02-01,1,https://example.com/education/language/citrus-128
b_0129,Nova,entertainment,streaming,video,awareness,M,35,50,11.04,0.736,2026-02-16,1,https://example.com/entertainment/streaming/nova-129
b_0130,Mira,sports,running,static,purchase,M,21,31,6.66,0.916,2025-11-29,1,https://example.com/sports/running/mira-130
b_0131,Zenit,food,coffee,static,awareness,F,18,33,8.0,0.894,2026-01-08,1,https://example.com/food/coffee/zenit-131
b_0132,Peak,travel,car_rental,static,traffic,M,30,40,7.78,0.641,2026-01-04,1,https://example.com/travel/car_rental/peak-132
b_0133,Aura,home,repair,animated,app_install,F,21,31,8.95,0.599,2026-01-16,1,https://example.com/home/repair/aura-133
b_0134,Aster,sports,cycling,video,awareness,U,30,55,10.4,0.565,2026-02-03,1,https://example.com/sports/cycling/aster-134
b_0135,Orbit,home,repair,native,traffic,M,21,41,7.57,0.547,2026-01-20,1,https://example.com/home/repair/orbit-135
b_0136,Pixel,entertainment,events,static,purchase,F,30,55,1.47,0.959,2026-02-08,1,https://example.com/entertainment/events/pixel-136
b_0137,Pixel,fashion,accessories,native,traffic,U,30,50,2.08,0.97,2025-10-31,1,https://example.com/fashion/accessories/pixel-137
b_0138,Pixel,beauty,fragrance,static,traffic,F,25,40,7.33,0.883,2026-02-22,1,https://example.com/beauty/fragrance/pixel-138
b_0139,Orbit,home,furniture,native,awareness,M,40,60,9.64,0.964,2025-10-17,1,https://example.com/home/furniture/orbit-139
b_0140,Mira,sports,fitness,native,app_install,F,30,50,7.29,0.547,2025-11-15,1,https://example.com/sports/fitness/mira-140
b_0141,Luma,beauty,skincare,video,traffic,F,21,36,7.59,0.584,2025-10-24,1,https://example.com/beauty/skincare/luma-141
b_0142,Peak,travel,flights,native,traffic,U,35,50,7.08,0.728,2026-01-10,1,https://example.com/travel/flights/peak-142
b_0143,Mira,sports,outdoor,video,app_install,F,40,60,6.51,0.874,2026-03-15,1,https://example.com/sports/outdoor/mira-143
b_0144,Peak,finance,investing,animated,awareness,M,40,65,6.16,0.794,2026-02-21,1,https://example.com/finance/investing/peak-144
b_0145,Pixel,electronics,smartphones,animated,traffic,F,21,41,11.21,0.559,2026-02-19,1,https://example.com/electronics/smartphones/pixel-145
b_0146,Mira,education,design,static,awareness,M,35,45,1.51,0.822,2025-10-22,1,https://example.com/education/design/mira-146
b_0147,Fox,finance,insurance,animated,app_install,F,21,31,5.31,0.879,2025-11-07,1,https://example.com/finance/insurance/fox-147
b_0148,Fox,fashion,luxury,video,traffic,F,18,33,4.34,0.94,2026-01-29,1,https://example.com/fashion/luxury/fox-148
b_0149,Nova,entertainment,streaming,static,purchase,U,25,45,9.27,0.633,2026-02-21,1,https://example.com/entertainment/streaming/nova-149
b_0150,Pixel,electronics,gaming,animated,awareness,F,21,41,4.12,0.577,2025-12-05,1,https://example.com/electronics/gaming/pixel-150
