banner_id,brand,category,subcategory,banner_format,campaign_goal,target_gender,target_age_min,target_age_max,cpm_bid,quality_score,created_at,is_active,landing_page
b_0151,Nova,electronics,gaming,animated,awareness,M,30,55,2.2,0.959,2026-01-08,1,https://example.com/electronics/gaming/nova-151
b_0152,Orbit,beauty,haircare,animated,purchase,M,35,60,4.91,0.858,2025-12-18,1,https://example.com/beauty/haircare/orbit-152
b_0153,Citrus,education,language,native,awareness,F,35,45,6.86,0.959,2025-12-04,1,https://example.com/education/language/citrus-153
b_0154,Vanta,finance,investing,static,awareness,F,18,33,6.01,0.684,2026-02-18,1,https://example.com/finance/investing/vanta-154
b_0155,Pixel,education,school,native,app_install,M,18,33,11.85,0.852,2026-03-02,1,https://example.com/education/school/pixel-155
b_0156,Pulse,food,restaurants,video,lead_gen,M,40,65,1.86,0.917,2026-03-21,1,https://example.com/food/restaurants/pulse-156
b_0157,Aster,entertainment,events,video,purchase,F,35,55,7.83,0.56,2025-12-26,1,https://example.com/entertainment/events/aster-157
b_0158,Aster,education,coding,static,traffic,M,25,35,8.39,0.506,2026-01-14,1,https://example.com/education/coding/aster-158
b_0159,Aster,fashion,luxury,animated,awareness,U,18,28,5.72,0.904,2025-12-17,1,https://example.com/fashion/luxury/aster-159
b_0160,Aster,sports,football,animated,purchase,U,18,43,5.77,0.717,2025-11-23,1,https://example.com/sports/football/aster-160
b_0161,Peak,entertainment,cinema,video,app_install,U,30,40,3.97,0.95,2026-02-10,1,https://example.com/entertainment/cinema/peak-161
b_0162,Zenit,education,language,video,awareness,U,30,45,1.77,0.989,2026-02-18,1,https://example.com/education/language/zenit-162
b_0163,Citrus,finance,insurance,video,lead_gen,M,40,60,10.61,0.639,2026-02-18,1,https://example.com/finance/insurance/citrus-163
b_0164,Fox,fashion,accessories,animated,traffic,U,35,50,1.72,0.99,2026-02-28,1,https://example.com/fashion/accessories/fox-164
b_0165,Peak,entertainment,cinema,static,lead_gen,F,21,31,8.16,0.819,2026-01-21,1,https://example.com/entertainment/cinema/peak-165
b_0166,Delta,beauty,haircare,static,lead_gen,U,40,50,10.82,0.514,2025-10-17,1,https://example.com/beauty/haircare/delta-166
b_0167,Peak,beauty,wellness,static,traffic,U,25,50,3.27,0.57,2026-03-03,1,https://example.com/beauty/wellness/peak-167
b_0168,Orbit,food,coffee,static,purchase,F,35,45,2.78,0.946,2026-02-17,1,https://example.com/food/coffee/orbit-168
b_0169,Mira,entertainment,cinema,animated,awareness,U,35,50,8.05,0.518,2025-10-01,1,https://example.com/entertainment/cinema/mira-169
b_0170,Peak,electronics,gaming,video,awareness,F,25,50,1.09,0.797,2025-10-01,1,https://example.com/electronics/gaming/peak-170
b_0171,Aura,travel,weekend_trips,video,purchase,M,40,65,9.72,0.617,2025-11-21,1,https://example.com/travel/weekend_trips/aura-171
b_0172,Zenit,finance,insurance,animated,purchase,U,35,50,1.16,0.892,2026-03-02,1,https://example.com/finance/insurance/zenit-172
b_0173,Delta,electronics,gaming,animated,purchase,U,35,45,11.17,0.878,2026-03-02,1,https://example.com/electronics/gaming/delta-173
b_0174,Aster,food,healthy,native,awareness,F,21,46,10.14,0.52,2026-02-03,1,https://example.com/food/healthy/aster-174
b_0175,Nova,electronics,gaming,animated,traffic,F,18,38,2.82,0.561,2026-02-03,1,https://example.com/electronics/gaming/nova-175
b_0176,Delta,education,language,video,traffic,M,18,38,9.07,0.809,2025-12-30,1,https://example.com/education/language/delta-176
b_0177,Aura,home,decor,video,traffic,M,18,28,10.29,0.576,2026-02-24,1,https://example.com/home/decor/aura-177
b_0178,Pixel,food,restaurants,video,traffic,U,21,41,2.72,0.633,2026-02-10,1,https://example.com/food/restaurants/pixel-178
b_0179,Fox,travel,insurance,video,traffic,M,30,40,8.66,0.98,2026-02-12,1,https://example.com/travel/insurance/fox-179
b_0180,Pixel,entertainment,cinema,static,traffic,F,21,46,1.13,0.802,2026-01-19,1,https://example.com/entertainment/cinema/pixel-180
b_0181,Peak,fashion,accessories,static,app_install,F,35,45,0.99,0.933,2025-12-22,1,https://example.com/fashion/accessories/peak-181
b_0182,Fox,home,furniture,animated,traffic,U,25,35,2.49,0.545,2026-02-05,1,https://example.com/home/furniture/fox-182
b_0183,Pixel,fashion,accessories,video,awareness,F,25,40,2.61,0.98,2026-01-15,1,https://example.com/fashion/accessories/pixel-183
b_0184,Fox,home,repair,static,awareness,U,30,40,9.52,0.812,2025-12-22,1,https://example.com/home/repair/fox-184
b_0185,Nova,electronics,laptops,static,traffic,F,35,60,7.08,0.571,2025-11-14,1,https://example.com/electronics/laptops/nova-185
b_0186,Peak,travel,weekend_trips,native,awareness,F,25,35,3.97,0.783,2026-03-20,1,https://example.com/travel/weekend_trips/peak-186
b_0187,Pixel,beauty,fragrance,animated,purchase,M,21,46,8.55,0.818,2025-12-19,1,https://example.com/beauty/fragrance/pixel-187
b_0188,Luma,education,design,native,lead_gen,M,35,50,2.21,0.749,2026-03-19,1,https://example.com/education/design/luma-188
b_0189,Orbit,education,language,static,traffic,F,40,65,5.15,0.732,2025-10-24,1,https://example.com/education/language/orbit-189
b_0190,Aster,home,appliances,static,purchase,F,30,50,2.04,0.636,2025-10-22,1,https://example.com/home/appliances/aster-190
b_0191,Fox,electronics,smartphones,video,traffic,U,40,55,4.0,0.71,2026-02-19,0,https://example.com/electronics/smartphones/fox-191
b_0192,Fox,food,restaurants,video,awareness,M,40,60,7.8,0.702,2026-01-18,1,https://example.com/food/restaurants/fox-192
b_0193,Mira,entertainment,streaming,static,traffic,F,30,40,5.2,0.607,2026-03-20,1,https://example.com/entertainment/streaming/mira-193
b_0194,Citrus,sports,cycling,static,traffic,U,18,33,4.15,0.518,2026-01-14,1,https://example.com/sports/cycling/citrus-194
b_0195,Orbit,beauty,wellness,static,traffic,F,35,55,5.31,0.732,2025-10-27,1,https://example.com/beauty/wellness/orbit-195
b_0196,Orbit,home,decor,static,awareness,M,40,65,7.08,0.777,2025-11-10,0,https://example.com/home/decor/orbit-196
b_0197,Pixel,education,school,static,app_install,U,21,36,8.57,0.817,2026-01-14,1,https://example.com/education/school/pixel-197
b_0198,Orbit,sports,running,native,purchase,M,30,40,4.14,0.886,2026-01-26,1,https://example.com/sports/running/orbit-198
b_0199,Aster,entertainment,music,native,app_install,F,18,28,6.82,0.711,2026-01-04,1,https://example.com/entertainment/music/aster-199
b_0200,Citrus,home,garden,video,purchase,M,25,35,4.65,0.751,2026-01-21,1,https://example.com/home/garden/citrus-200
b_0201,Pulse,sports,cycling,native,purchase,F,21,36,8.97,0.934,2025-10-24,1,https://example.com/sports/cycling/pulse-201
b_0202,Zenit,electronics,smartphones,static,awareness,M,40,55,6.29,0.755,2026-03-15,1,https://example.com/electronics/smartphones/zenit-202
b_0203,Delta,sports,cycling,static,awareness,U,25,40,9.7,0.654,2026-01-02,1,https://example.com/sports/cycling/delta-203
b_0204,Orbit,entertainment,events,animated,awareness,U,21,36,6.18,0.557,2026-02-28,1,https://example.com/entertainment/events/orbit-204
b_0205,Delta,entertainment,music,native,awareness,U,18,28,1.33,0.913,2026-02-25,0,https://example.com/entertainment/music/delta-205
b_0206,Fox,entertainment,music,static,app_install,F,18,43,3.73,0.664,2025-10-11,1,https://example.com/entertainment/music/fox-206
b_0207,Fox,sports,cycling,native,traffic,U,40,65,2.49,0.654,2025-10-12,1,https://example.com/sports/cycling/fox-207
b_0208,Pulse,fashion,sportswear,animated,traffic,M,35,50,0.67,0.905,2026-02-11,1,https://example.com/fashion/sportswear/pulse-208
b_0209,Citrus,education,school,static,traffic,F,25,40,10.35,0.682,2026-02-05,1,https://example.com/education/school/citrus-209
b_0210,Vanta,finance,insurance,static,awareness,U,35,60,7.41,0.559,2025-10-28,1,https://example.com/finance/insurance/vanta-210
b_0211,Mira,food,healthy,video,awareness,M,35,60,4.7,0.97,2025-10-14,1,https://example.com/food/healthy/mira-211
b_0212,Nova,finance,insurance,static,traffic,F,21,36,9.38,0.652,2026-03-29,1,https://example.com/finance/insurance/nova-212
b_0213,Luma,electronics,smartphones,animated,purchase,F,30,50,8.41,0.846,2026-02-13,1,https://example.com/electronics/smartphones/luma-213
b_0214,Pulse,fashion,shoes,native,lead_gen,U,25,35,7.87,0.505,2025-12-09,1,https://example.com/fashion/shoes/pulse-214
b_0215,Vanta,entertainment,events,animated,traffic,F,30,50,2.9,0.757,2025-12-24,1,https://example.com/entertainment/events/vanta-215
b_0216,Orbit,entertainment,events,static,awareness,F,25,45,2.41,0.91,2025-10-30,1,https://example.com/entertainment/events/orbit-216
b_0217,Zenit,travel,car_rental,animated,awareness,M,40,60,11.88,0.772,2025-11-06,1,https://example.com/travel/car_rental/zenit-217
b_0218,Pulse,sports,football,video,app_install,M,35,55,11.89,0.569,2026-03-01,1,https://example.com/sports/football/pulse-218
b_0219,Mira,entertainment,music,static,purchase,F,40,60,5.65,0.692,2025-11-29,1,https://example.com/entertainment/music/mira-219
b_0220,Peak,electronics,audio,video,purchase,F,40,50,9.19,0.713,2025-10-15,1,https://example.com/electronics/audio/peak-220
b_0221,Mira,finance,wallets,static,awareness,F,35,60,5.9,0.574,2025-11-25,1,https://example.com/finance/wallets/mira-221
b_0222,Mira,travel,flights,native,awareness,M,25,50,10.93,0.522,2025-11-02,1,https://example.com/travel/flights/mira-222
b_0223,Zenit,travel,insurance,video,purchase,U,40,50,3.18,0.643,2025-11-04,1,https://example.com/travel/insurance/zenit-223
b_0224,Zenit,sports,running,static,lead_gen,F,25,40,7.24,0.742,2025-12-28,1,https://example.com/sports/running/zenit-224
b_0225,Zenit,sports,cycling,animated,purchase,U,40,60,1.47,0.619,2026-03-01,1,https://example.com/sports/cycling/zenit-225
b_0226,Luma,travel,hotels,animated,awareness,U,25,45,7.83,0.818,2026-03-01,1,https://example.com/travel/hotels/luma-226
b_0227,Aster,home,appliances,static,purchase,U,25,45,8.21,0.874,2026-01-19,1,https://example.com/home/appliances/aster-227
b_0228,Citrus,sports,football,native,purchase,U,25,35,4.72,0.764,2025-10-11,1,https://example.com/sports/football/citrus-228
b_0229,Aster,fashion,luxury,video,lead_gen,M,35,55,4.39,0.914,2025-11-29,0,https://example.com/fashion/luxury/aster-229
b_0230,Orbit,finance,loans,video,app_install,M,40,55,9.34,0.917,2025-12-26,1,https://example.com/finance/loans/orbit-230
b_0231,Citrus,electronics,smartphones,static,traffic,F,21,31,6.31,0.946,2025-11-24,0,https://example.com/electronics/smartphones/citrus-231
b_0232,Fox,food,snacks,native,purchase,F,21,41,10.28,0.667,2026-01-14,1,https://example.com/food/snacks/fox-232
b_0233,Fox,electronics,smartphones,animated,app_install,U,18,33,6.24,0.76,2026-01-02,1,https://example.com/electronics/smartphones/fox-233
b_0234,Delta,food,delivery,animated,traffic,U,25,35,5.08,0.949,2025-10-19,1,https://example.com/food/delivery/delta-234
b_0235,Orbit,entertainment,events,native,traffic,F,40,65,7.75,0.587,2025-10-02,1,https://example.com/entertainment/events/orbit-235
b_0236,Aster,food,restaurants,static,purchase,M,40,65,2.7,0.512,2025-11-30,1,https://example.com/food/restaurants/aster-236
b_0237,Pixel,food,delivery,static,traffic,F,21,36,11.17,0.72,2025-12-15,1,https://example.com/food/delivery/pixel-237
b_0238,Zenit,beauty,fragrance,static,traffic,M,21,46,7.38,0.504,2025-11-25,1,https://example.com/beauty/fragrance/zenit-238
b_0239,Luma,travel,flights,animated,traffic,M,25,45,3.7,0.844,2026-01-03,1,https://example.com/travel/flights/luma-239
b_0240,Luma,entertainment,streaming,video,lead_gen,M,18,43,11.79,0.804,2026-01-23,1,https://example.com/entertainment/streaming/luma-240
b_0241,Pixel,beauty,wellness,video,lead_gen,F,25,45,5.99,0.873,2026-01-26,1,https://example.com/beauty/wellness/pixel-241
b_0242,Aster,travel,hotels,static,lead_gen,F,30,55,8.79,0.972,2026-03-12,1,https://example.com/travel/hotels/aster-242
b_0243,Fox,travel,hotels,video,purchase,M,30,50,9.49,0.925,2025-10-14,1,https://example.com/travel/hotels/fox-243
b_0244,Nova,entertainment,streaming,native,purchase,M,35,50,8.92,0.716,2025-10-21,1,https://example.com/entertainment/streaming/nova-244
b_0245,Orbit,sports,football,video,lead_gen,F,35,60,6.86,0.821,2025-12-15,1,https://example.com/sports/football/orbit-245
b_0246,Zenit,home,decor,animated,app_install,F,40,60,11.82,0.641,2026-03-24,1,https://example.com/home/decor/zenit-246
b_0247,Delta,beauty,haircare,static,awareness,M,30,50,8.94,0.867,2026-01-23,1,https://example.com/beauty/haircare/delta-247
b_0248,Orbit,sports,fitness,native,traffic,M,21,36,1.92,0.52,2025-12-02,1,https://example.com/sports/fitness/orbit-248
b_0249,Citrus,beauty,haircare,animated,purchase,F,18,33,9.44,0.74,2026-03-07,1,https://example.com/beauty/haircare/citrus-249
b_0250,Pulse,education,language,native,traffic,M,21,31,5.85,0.979,2026-03-27,1,https://example.com/education/language/pulse-250
b_0251,Fox,finance,insurance,video,traffic,F,21,36,5.23,0.889,2026-01-25,1,https://example.com/finance/insurance/fox-251
b_0252,Vanta,food,healthy,native,lead_gen,M,40,65,6.89,0.893,2025-10-16,1,https://example.com/food/healthy/vanta-252
b_0253,Vanta,electronics,laptops,static,app_install,F,40,50,11.13,0.903,2025-11-12,1,https://example.com/electronics/laptops/vanta-253
b_0254,Aster,electronics,gaming,static,awareness,U,18,33,4.79,0.524,2025-10-07,1,https://example.com/electronics/gaming/aster-254
b_0255,Delta,finance,loans,native,app_install,F,40,60,1.76,0.831,2026-02-15,1,https://example.com/finance/loans/delta-255
b_0256,Vanta,food,restaurants,animated,traffic,F,35,50,9.4,0.924,2026-02-06,1,https://example.com/food/restaurants/vanta-256
b_0257,Aster,beauty,wellness,static,traffic,F,30,50,9.0,0.892,2025-12-08,1,https://example.com/beauty/wellness/aster-257
b_0258,Luma,beauty,makeup,animated,purchase,F,21,41,3.2,0.805,2025-10-09,1,https://example.com/beauty/makeup/luma-258
b_0259,Nova,food,snacks,animated,purchase,F,21,46,10.37,0.502,2026-03-21,1,https://example.com/food/snacks/nova-259
b_0260,Fox,travel,weekend_trips,static,traffic,F,35,50,8.29,0.515,2026-01-01,1,https://example.com/travel/weekend_trips/fox-260
b_0261,Mira,beauty,wellness,static,awareness,U,35,50,5.12,0.939,2026-01-18,1,https://example.com/beauty/wellness/mira-261
b_0262,Nova,education,school,static,awareness,U,40,65,3.23,0.918,2026-01-29,1,https://example.com/education/school/nova-262
b_0263,Citrus,entertainment,cinema,native,app_install,U,30,55,4.5,0.918,2026-03-12,1,https://example.com/entertainment/cinema/citrus-263
b_0264,Luma,education,school,animated,purchase,F,40,65,7.29,0.695,2025-11-23,1,https://example.com/education/school/luma-264
b_0265,Peak,education,coding,static,awareness,U,40,55,3.66,0.934,2026-03-05,1,https://example.com/education/coding/peak-265
b_0266,Mira,sports,outdoor,video,traffic,M,21,46,1.48,0.668,2025-11-03,1,https://example.com/sports/outdoor/mira-266
b_0267,Zenit,travel,insurance,video,lead_gen,M,30,55,8.75,0.896,2026-01-05,1,https://example.com/travel/insurance/zenit-267
b_0268,Pulse,education,coding,video,traffic,U,35,45,3.91,0.7,2026-03-29,1,https://example.com/education/coding/pulse-268
b_0269,Aura,fashion,sportswear,static,awareness,F,18,33,2.07,0.782,2025-11-03,1,https://example.com/fashion/sportswear/aura-269
b_0270,Peak,sports,football,static,app_install,U,30,55,8.56,0.792,2026-03-29,1,https://example.com/sports/football/peak-270
b_0271,Citrus,sports,outdoor,static,app_install,M,25,35,5.01,0.948,2025-11-09,1,https://example.com/sports/outdoor/citrus-271
b_0272,Orbit,beauty,makeup,native,app_install,M,35,55,2.05,0.679,2025-12-29,1,https://example.com/beauty/makeup/orbit-272
b_0273,Orbit,finance,insurance,animated,traffic,F,40,55,1.27,0.599,2026-01-08,1,https://example.com/finance/insurance/orbit-273
b_0274,Orbit,fashion,sportswear,animated,traffic,F,40,50,5.71,0.811,2025-10-04,1,https://example.com/fashion/sportswear/orbit-274
b_0275,Delta,fashion,shoes,animated,purchase,F,18,28,4.45,0.706,2026-03-09,1,https://example.com/fashion/shoes/delta-275
b_0276,Luma,entertainment,books,static,awareness,U,35,45,9.15,0.765,2026-03-22,1,https://example.com/entertainment/books/luma-276
b_0277,Vanta,education,language,animated,purchase,U,30,40,3.77,0.94,2025-12-09,1,https://example.com/education/language/vanta-277
b_0278,Mira,entertainment,cinema,native,traffic,U,25,50,4.24,0.945,2025-11-12,1,https://example.com/entertainment/cinema/mira-278
b_0279,Zenit,food,delivery,video,traffic,M,21,31,6.59,0.864,2025-11-08,1,https://example.com/food/delivery/zenit-279
b_0280,Citrus,entertainment,events,native,traffic,F,30,55,8.01,0.647,2026-01-15,1,https://example.com/entertainment/events/citrus-280
b_0281,Citrus,sports,football,static,app_install,F,35,55,3.28,0.658,2025-11-01,1,https://example.com/sports/football/citrus-281
b_0282,Luma,fashion,sportswear,static,lead_gen,F,40,65,10.55,0.639,2025-10-28,1,https://example.com/fashion/sportswear/luma-282
b_0283,Nova,fashion,sportswear,native,traffic,U,18,33,6.96,0.888,2026-01-14,1,https://example.com/fashion/sportswear/nova-283
b_0284,Zenit,beauty,fragrance,animated,traffic,M,25,35,5.54,0.733,2026-02-19,1,https://example.com/beauty/fragrance/zenit-284
b_0285,Nova,education,business,static,traffic,M,35,50,11.94,0.831,2025-11-16,1,https://example.com/education/business/nova-285
b_0286,Pulse,food,snacks,static,traffic,F,18,33,10.88,0.886,2026-02-24,1,https://example.com/food/snacks/pulse-286
b_0287,Aster,beauty,haircare,video,traffic,U,40,65,2.63,0.775,2025-11-27,1,https://example.com/beauty/haircare/aster-287
b_0288,Orbit,travel,insurance,static,awareness,F,35,60,8.01,0.968,2025-10-19,1,https://example.com/travel/insurance/orbit-288
b_0289,Peak,education,business,animated,purchase,F,35,50,6.4,0.712,2025-10-26,1,https://example.com/education/business/peak-289
b_0290,Aster,entertainment,cinema,static,purchase,U,25,50,11.54,0.55,2025-10-07,0,https://example.com/entertainment/cinema/aster-290
b_0291,Citrus,travel,weekend_trips,static,purchase,F,35,50,0.97,0.621,2026-01-11,1,https://example.com/travel/weekend_trips/citrus-291
b_0292,Fox,sports,running,video,awareness,U,40,55,5.73,0.753,2025-10-12,1,https://example.com/sports/running/fox-292
b_0293,Delta,finance,cards,native,purchase,F,21,41,4.09,0.525,2026-03-03,1,https://example.com/finance/cards/delta-293
b_0294,Aura,food,snacks,animated,traffic,F,35,60,4.92,0.53,2025-10-21,1,https://example.com/food/snacks/aura-294
b_0295,Nova,beauty,wellness,video,traffic,U,35,45,8.53,0.601,2026-03-25,1,https://example.com/beauty/wellness/nova-295
b_0296,Pulse,travel,weekend_trips,video,awareness,U,40,65,5.03,0.704,2025-11-24,0,https://example.com/travel/weekend_trips/pulse-296
b_0297,Orbit,education,business,static,traffic,F,35,50,0.52,0.555,2025-12-14,1,https://example.com/education/business/orbit-297
b_0298,Aura,beauty,fragrance,video,lead_gen,M,18,43,0.51,0.749,2026-03-05,1,https://example.com/beauty/fragrance/aura-298
b_0299,Orbit,beauty,skincare,native,lead_gen,M,25,50,6.13,0.663,2025-12-13,1,https://example.com/beauty/skincare/orbit-299
b_0300,Peak,sports,football,animated,traffic,F,25,35,9.48,0.912,2025-12-17,1,https://example.com/sports/football/peak-300
